method_id,method_label,seed,run_dir,best_epoch,test_loss,test_macro_f1,test_balanced_acc,test_accuracy,test_auc,test_sensitivity_usable,test_specificity_unusable,forward_flops_per_sample,forward_gflops_per_sample,profiled_params
fusion_adapter,Adapter,1,runs_binary_iqa/fusion_adapter_seed1,24.0,0.5710458590452507,0.8907019650982391,0.8925577216327203,0.8907035175879398,0.9535253064039532,0.8537170263788969,0.9313984168865436,8366051328.0,8.366051328,47716482.0
fusion_adapter,Adapter,2,runs_binary_iqa/fusion_adapter_seed2,19.0,0.5475650254561538,0.8731105713307166,0.8748093873186411,0.8731155778894473,0.9452174408230671,0.8393285371702638,0.9102902374670184,8366051328.0,8.366051328,47716482.0
fusion_adapter,Adapter,3,runs_binary_iqa/fusion_adapter_seed3,17.0,0.531067673690224,0.8730432448223859,0.8739678441943015,0.8731155778894473,0.9430091810456649,0.8561151079136691,0.8918205804749341,8366051328.0,8.366051328,47716482.0
fusion_adapter,Adapter,4,runs_binary_iqa/fusion_adapter_seed4,14.0,0.5180988987584847,0.8756263740773066,0.8778085710850845,0.8756281407035176,0.9420537448669032,0.8321342925659473,0.9234828496042217,8366051328.0,8.366051328,47716482.0
transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0,24.0,0.4562585009402366,0.7826547409922173,0.7847516182304816,0.7826633165829145,0.8765272742228382,0.7410071942446043,0.8284960422163589,4131698688.0,4.131698688,23512130.0
transfer_frozen,Frozen,1,runs_binary_iqa/transfer_frozen_seed1,25.0,0.4566623376841521,0.7885589602504506,0.7927905696550939,0.7889447236180904,0.8810956511835386,0.7122302158273381,0.8733509234828496,4131698688.0,4.131698688,23512130.0
transfer_frozen,Frozen,2,runs_binary_iqa/transfer_frozen_seed2,23.0,0.4546964824499197,0.785026256564141,0.7882316837822618,0.785175879396985,0.8803933106812702,0.7242206235011991,0.8522427440633246,4131698688.0,4.131698688,23512130.0
transfer_frozen,Frozen,3,runs_binary_iqa/transfer_frozen_seed3,22.0,0.46081174707891953,0.7839195979899497,0.7857102181051991,0.7839195979899497,0.8743569787969097,0.7482014388489209,0.8232189973614775,4131698688.0,4.131698688,23512130.0
transfer_frozen,Frozen,4,runs_binary_iqa/transfer_frozen_seed4,25.0,0.4552464107772214,0.7875674096532992,0.790629765317034,0.7876884422110553,0.8818802477806673,0.7290167865707434,0.8522427440633246,4131698688.0,4.131698688,23512130.0
transfer_all,All,0,runs_binary_iqa/transfer_all_seed0,21.0,0.36179675969725766,0.9006846448454219,0.9015489455401378,0.9007537688442211,0.9636238238960283,0.8848920863309353,0.9182058047493403,4131698688.0,4.131698688,23512130.0
